x,y
909217.4242424242,1502815.9090909092
899572.8260869565,1472988.043478261
936425.0,1499650.0
883041.6666666666,1489722.9166666667
907452.7777777778,1473091.6666666667
889895.8333333334,1479987.5
889384.6153846154,1496930.7692307692
946048.0769230769,1494280.7692307692
938106.25,1481406.25
922807.3529411765,1505904.4117647058
918225.0,1473900.0
889020.8333333334,1472337.5
905250.0,1501425.0
920235.0,1494345.0
893646.4285714285,1489500.0
930208.3333333334,1492250.0
931732.1428571428,1506289.2857142857
914175.0,1473050.0
896984.0909090909,1499815.9090909092
906625.0,1500186.5384615385
946796.7391304348,1497698.9130434783
876650.0,1484275.0
883025.0,1471615.0
916050.0,1478750.0
939435.0,1504665.0
907154.6875,1502526.5625
890265.0,1484885.0
894987.5,1474125.0
902996.875,1500850.0
923041.6666666666,1476191.6666666667
893975.0,1478095.0
880458.3333333334,1487591.6666666667
899650.0,1493950.0
925875.0,1498925.0
932262.5,1495668.75
886158.3333333334,1476841.6666666667
904965.0,1498010.0
893175.0,1498425.0
913175.0,1502975.0
887208.3333333334,1468991.6666666667
927775.0,1507400.0
884975.0,1491791.6666666667
913325.0,1495750.0
887413.8888888889,1479669.4444444445
934550.0,1507375.0
924225.0,1489525.0
912393.75,1473175.0
919475.0,1499000.0
934075.0,1487975.0
898619.8275862068,1474218.103448276
