car_id,trajectory
4610105f,['POI46']
46101070,"['POI11', 'POI39', 'POI11']"
46101081,"['POI37', 'POI18', 'POI28', 'POI12', 'POI25']"
46101085,"['POI19', 'POI32', 'POI30', 'POI49']"
4610108e,"['POI30', 'POI49', 'POI30']"
4610109b,"['POI9', 'POI38']"
461010b0,"['POI37', 'POI18']"
461010b5,[]
461010b9,['POI25']
461010ba,"['POI19', 'POI25']"
461010bc,"['POI19', 'POI25', 'POI12']"
461010bd,['POI12']
461010be,['POI29']
461010bf,"['POI37', 'POI18', 'POI28', 'POI12', 'POI25']"
461010c2,[]
461010c3,['POI19']
461010c4,['POI20']
461010ce,[]
461010cf,['POI25']
461010d3,"['POI38', 'POI0', 'POI25']"
461010d5,['POI48']
461010d8,"['POI44', 'POI16', 'POI40', 'POI45']"
461010da,"['POI46', 'POI17', 'POI23', 'POI42']"
461010f0,"['POI23', 'POI42', 'POI25', 'POI19', 'POI47']"
461010f1,['POI19']
461010f5,[]
461010fa,"['POI38', 'POI19', 'POI25']"
46101121,"['POI19', 'POI25', 'POI19']"
46101122,['POI1']
46101129,"['POI32', 'POI12', 'POI25', 'POI19']"
46101130,"['POI18', 'POI12', 'POI25']"
46101133,"['POI19', 'POI12']"
46101135,"['POI13', 'POI36']"
46101138,"['POI20', 'POI7', 'POI20']"
4610113a,"['POI30', 'POI32', 'POI19', 'POI25', 'POI12']"
46101141,['POI49']
46101145,"['POI16', 'POI44']"
4610114d,"['POI8', 'POI7', 'POI8', 'POI7']"
46101152,"['POI30', 'POI32', 'POI12']"
46101158,"['POI28', 'POI12']"
4610115a,['POI46']
4610116f,['POI19']
46101174,['POI17']
4610117a,"['POI43', 'POI5', 'POI30', 'POI49']"
46101181,"['POI12', 'POI25']"
46101195,['POI12']
46101198,[]
461011a0,"['POI20', 'POI7', 'POI20']"
461011a5,[]
461011b2,[]
461011b3,"['POI46', 'POI17']"
461011b5,"['POI46', 'POI4']"
461011b8,"['POI0', 'POI25']"
461011b9,[]
461011bc,['POI12']
461011d3,[]
461011e2,['POI9']
461011e6,['POI25']
461011f0,"['POI19', 'POI32', 'POI30']"
46101202,"['POI12', 'POI25', 'POI0']"
46101209,['POI12']
4610121b,['POI9']
4610122a,['POI25']
46101233,"['POI36', 'POI19', 'POI25']"
4610123c,['POI12']
46101247,"['POI19', 'POI42', 'POI13', 'POI45', 'POI23', 'POI4']"
4610124f,"['POI3', 'POI41', 'POI6', 'POI37', 'POI18', 'POI28', 'POI12', 'POI19', 'POI12']"
4610125a,[]
4610125f,[]
4610126a,"['POI0', 'POI19', 'POI25', 'POI12']"
4610126c,"['POI19', 'POI25']"
4610126d,['POI36']
4610126e,"['POI19', 'POI25', 'POI12']"
46101279,['POI0']
4610127a,['POI5']
4610127d,['POI12']
46101280,"['POI24', 'POI44', 'POI16', 'POI40', 'POI38', 'POI19', 'POI12']"
46101283,[]
461012a5,['POI12']
461012a7,['POI12']
461012ab,[]
461012af,"['POI1', 'POI49', 'POI1', 'POI49', 'POI1']"
461012b4,"['POI28', 'POI12']"
