,POI0,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47,POI48,POI49
POI39,0,0,0,0,0,0,0,0,44,0,0,1,1,0,0,39,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,3,0,3,0,0,0
POI40,0,0,94,1,0,63,0,0,1,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,2,29,0,3,0,5,0,4,0,0,0,2,1,0,0,0,0,0,3,0,0,2,0,0,0,0
POI41,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,2
POI42,0,0,6,0,22,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,5,0,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
POI43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,3,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0
POI44,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,5,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,9,2,2,0
POI45,1,0,0,109,0,1,1,0,0,2,1,1,0,0,0,0,103,1,5,1,0,0,2,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1
POI46,0,0,0,0,0,0,0,0,4,0,0,1,1,0,22,0,0,0,20,1,0,0,0,0,2,0,0,0,1,0,0,0,1,14,0,17,0,1,0,1,0,0,0,0,4,0,0,0,0,27
POI47,0,0,0,0,0,0,4,8,0,0,0,0,1,0,15,0,0,0,0,2,0,0,4,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
POI48,64,0,0,52,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,20,1,0,29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,3,0,0,0,2
POI49,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,1,72,0,0,0,0,0,96,0,0,2,0,0,0,0,0,0,0,6,1,23,0,0,0,4,1,0,0,1,12,0,0,0
