4610030e,['POI40']
46100311,['POI24']
46100314,['POI10']
46100317,['POI10']
4610031b,[]
4610031e,[]
4610031f,"['POI37', 'POI6', 'POI41']"
46100321,"['POI0', 'POI19']"
46100322,"['POI46', 'POI17']"
46100324,['POI41']
46100325,['POI6']
46100326,"['POI35', 'POI43', 'POI5', 'POI30', 'POI49']"
4610032a,"['POI3', 'POI43', 'POI30']"
4610032b,['POI39']
4610032c,[]
46100330,"['POI6', 'POI37', 'POI18', 'POI28', 'POI12', 'POI19', 'POI0']"
46100332,['POI46']
46100333,"['POI34', 'POI13', 'POI23', 'POI17', 'POI46']"
4610033a,"['POI6', 'POI37', 'POI18', 'POI28', 'POI12', 'POI25']"
4610033b,['POI25']
4610033e,[]
4610033f,['POI46']
46100340,"['POI25', 'POI19', 'POI25']"
46100342,"['POI8', 'POI48', 'POI15']"
46100344,[]
46100345,"['POI20', 'POI7']"
4610034a,"['POI30', 'POI5', 'POI43']"
4610034e,"['POI25', 'POI19', 'POI25']"
46100351,"['POI34', 'POI2']"
4610035f,"['POI34', 'POI47', 'POI36']"
46100363,"['POI40', 'POI16', 'POI44', 'POI24']"
46100364,['POI8']
46100365,"['POI19', 'POI36']"
46100366,['POI25']
46100367,"['POI9', 'POI40', 'POI16']"
4610036a,['POI4']
4610036b,"['POI0', 'POI19', 'POI12', 'POI28']"
4610036c,['POI49']
4610036d,"['POI26', 'POI41']"
4610036e,"['POI19', 'POI25']"
4610036f,['POI36']
46100370,[]
46100373,['POI8']
46100374,['POI19']
46100375,"['POI43', 'POI30']"
46100379,"['POI6', 'POI37', 'POI18', 'POI28']"
4610037a,"['POI40', 'POI16', 'POI44', 'POI24']"
4610037b,"['POI32', 'POI36', 'POI19']"
4610037c,[]
4610037e,[]
4610037f,"['POI40', 'POI9', 'POI0']"
46100380,"['POI0', 'POI38']"
46100382,['POI41']
46100383,"['POI27', 'POI22']"
46100388,"['POI16', 'POI44', 'POI24']"
46100390,"['POI26', 'POI41']"
46100393,"['POI1', 'POI49']"
46100394,"['POI31', 'POI3']"
46100395,['POI28']
46100396,"['POI25', 'POI0', 'POI47', 'POI34']"
461003a1,[]
461003a7,"['POI3', 'POI43', 'POI5']"
461003ab,"['POI15', 'POI7']"
461003af,"['POI20', 'POI7']"
461003b0,['POI20']
461003bb,"['POI44', 'POI16', 'POI40', 'POI9']"
461003bc,[]
461003be,['POI19']
461003cc,"['POI18', 'POI28', 'POI12', 'POI19']"
461003cf,"['POI30', 'POI32', 'POI19', 'POI25', 'POI12', 'POI28']"
461003d0,"['POI16', 'POI44']"
461003d1,[]
461003d3,[]
461003d5,['POI25']
461003d6,[]
461003d7,['POI48']
461003d9,"['POI21', 'POI31', 'POI3']"
461003da,['POI32']
461003dc,"['POI44', 'POI24']"
461003dd,"['POI32', 'POI30', 'POI49']"
461003de,"['POI36', 'POI38', 'POI9']"
461003df,[]
461003e5,['POI20']
461003eb,[]
461003ef,['POI46']
461003f0,['POI43']
461003f6,['POI34']
461003fa,"['POI2', 'POI24', 'POI44', 'POI38']"
46100400,"['POI26', 'POI36']"
46100401,['POI47']
4610040b,['POI20']
46100410,"['POI47', 'POI9']"
46100412,"['POI6', 'POI41', 'POI3']"
4610041d,"['POI2', 'POI12', 'POI44', 'POI19', 'POI44', 'POI19', 'POI44', 'POI16']"
4610041e,['POI8']
46100420,['POI11']
46100424,[]
46100426,[]
46100429,['POI46']
4610042b,"['POI22', 'POI11', 'POI27', 'POI49']"
4610042c,"['POI11', 'POI39', 'POI22']"
46100430,"['POI40', 'POI16', 'POI40', 'POI9']"
46100437,['POI36']
46100438,"['POI10', 'POI17', 'POI46']"
4610043e,['POI43']
46100442,['POI16']
46100444,['POI2']
46100446,"['POI43', 'POI5', 'POI30']"
4610044d,"['POI20', 'POI7', 'POI8']"
46100452,"['POI20', 'POI7']"
46100453,"['POI6', 'POI41', 'POI3', 'POI31']"
46100456,['POI9']
46100458,"['POI0', 'POI42']"
46100460,[]
46100464,[]
46100466,['POI7']
46100467,['POI9']
46100469,"['POI7', 'POI20']"
4610046a,[]
4610046d,['POI12']
46100470,"['POI21', 'POI31']"
46100472,"['POI49', 'POI1', 'POI49']"
46100474,"['POI20', 'POI7']"
46100475,"['POI17', 'POI46', 'POI4']"
4610047b,['POI20']
4610047e,['POI27']
46100480,"['POI36', 'POI32', 'POI5']"
46100486,"['POI7', 'POI24', 'POI44']"
4610048b,[]
4610048e,"['POI6', 'POI37', 'POI18']"
4610048f,['POI6']
46100490,[]
46100491,"['POI10', 'POI17']"
46100492,"['POI20', 'POI24', 'POI44']"
46100493,['POI19']
46100495,['POI0']
46100498,['POI12']
46100499,['POI30']
4610049d,"['POI49', 'POI30', 'POI43']"
4610049e,"['POI39', 'POI27', 'POI49']"
461004a2,['POI28']
461004a4,"['POI6', 'POI41', 'POI3']"
461004a6,['POI1']
461004a7,"['POI24', 'POI44', 'POI16', 'POI40', 'POI9']"
461004a9,"['POI17', 'POI46']"
461004aa,[]
461004ae,['POI0']
461004b1,"['POI10', 'POI17', 'POI46']"
461004b4,['POI18']
461004b5,"['POI40', 'POI9']"
461004b8,"['POI18', 'POI28', 'POI12', 'POI25']"
461004b9,[]
461004ba,"['POI9', 'POI38']"
461004bc,"['POI25', 'POI19']"
461004c6,"['POI15', 'POI7', 'POI20']"
461004c7,"['POI46', 'POI4', 'POI49']"
461004cb,[]
461004cc,['POI27']
461004d2,"['POI32', 'POI36']"
461004d4,[]
461004d9,"['POI11', 'POI39']"
461004de,['POI3']
461004e1,['POI4']
461004e2,"['POI36', 'POI18']"
461004e3,"['POI45', 'POI49']"
461004e5,"['POI28', 'POI18', 'POI37', 'POI18', 'POI36']"
461004e6,"['POI17', 'POI46']"
461004e7,"['POI17', 'POI10', 'POI29', 'POI8']"
461004e8,[]
461004eb,['POI40']
461004ed,[]
461004f1,"['POI20', 'POI7', 'POI29']"
461004f2,['POI12']
461004f3,['POI0']
461004f6,"['POI41', 'POI32', 'POI36']"
461004fb,['POI30']
461004fc,['POI34']
46100501,"['POI25', 'POI12']"
46100502,['POI17']
46100503,"['POI10', 'POI29']"
46100505,"['POI44', 'POI16', 'POI40', 'POI9']"
46100506,['POI9']
4610050a,[]
4610050c,"['POI0', 'POI38']"
4610050d,"['POI27', 'POI49', 'POI4', 'POI46']"
4610050f,[]
46100514,['POI6']
46100517,[]
4610051c,['POI12']
46100523,[]
46100528,['POI1']
46100535,"['POI23', 'POI17', 'POI46']"
46100536,['POI41']
46100537,['POI22']
46100538,"['POI7', 'POI8']"
4610053e,"['POI31', 'POI21']"
4610053f,[]
46100541,"['POI12', 'POI28', 'POI18', 'POI37', 'POI6']"
46100543,"['POI2', 'POI34']"
46100544,"['POI17', 'POI46', 'POI4', 'POI49', 'POI30', 'POI5', 'POI43']"
46100545,"['POI6', 'POI41', 'POI3', 'POI31']"
46100549,"['POI18', 'POI37', 'POI6']"
4610054a,"['POI19', 'POI32']"
4610054f,['POI20']
46100552,['POI45']
46100553,['POI28']
46100556,['POI12']
46100557,"['POI32', 'POI26']"
46100558,[]
4610055f,['POI9']
46100560,"['POI24', 'POI2']"
46100561,['POI19']
46100565,[]
46100567,['POI20']
4610056f,"['POI11', 'POI39']"
46100572,"['POI43', 'POI5']"
46100573,"['POI30', 'POI4', 'POI46', 'POI17', 'POI10', 'POI29']"
46100574,"['POI41', 'POI26', 'POI30', 'POI49', 'POI4', 'POI46']"
46100577,"['POI43', 'POI22']"
4610057b,"['POI43', 'POI41', 'POI3']"
4610057d,"['POI12', 'POI25', 'POI19']"
46100582,"['POI44', 'POI40', 'POI9', 'POI38', 'POI0']"
4610058a,"['POI44', 'POI16', 'POI40']"
4610058b,['POI23']
4610058f,['POI26']
46100590,"['POI44', 'POI16', 'POI40', 'POI9']"
46100591,['POI12']
46100597,[]
46100599,"['POI1', 'POI4', 'POI46']"
4610059a,[]
4610059c,[]
4610059d,[]
4610059e,['POI38']
4610059f,['POI6']
461005a2,"['POI12', 'POI25', 'POI19', 'POI36']"
461005a3,"['POI34', 'POI2']"
461005a6,[]
461005a8,['POI31']
461005ac,"['POI46', 'POI17', 'POI23']"
461005ad,['POI30']
461005b1,"['POI32', 'POI12', 'POI19', 'POI0']"
461005b2,['POI38']
461005b7,['POI12']
461005bc,"['POI36', 'POI12']"
461005bf,['POI45']
461005c2,"['POI41', 'POI3']"
461005c3,"['POI19', 'POI25', 'POI12', 'POI25', 'POI0']"
461005cb,"['POI20', 'POI7']"
461005ce,"['POI6', 'POI37', 'POI18', 'POI36']"
461005d2,['POI46']
461005d7,"['POI28', 'POI12', 'POI25']"
461005d8,[]
461005da,"['POI11', 'POI32', 'POI19']"
461005e2,"['POI38', 'POI25']"
461005e3,['POI25']
