46100025,"['POI25', 'POI19', 'POI28', 'POI18', 'POI41']"
4610004e,['POI9']
46100082,[]
46100093,['POI18']
46100095,"['POI41', 'POI6', 'POI37', 'POI18', 'POI41', 'POI3', 'POI41', 'POI6', 'POI37', 'POI18', 'POI28', 'POI12', 'POI25', 'POI12', 'POI28']"
461000ab,"['POI20', 'POI7', 'POI34', 'POI47', 'POI19']"
461000b4,"['POI23', 'POI17', 'POI46']"
461000b5,"['POI30', 'POI27', 'POI11', 'POI41', 'POI3', 'POI41']"
461000b6,"['POI19', 'POI12']"
461000b7,"['POI11', 'POI12', 'POI28', 'POI36']"
461000b8,['POI30']
461000ba,"['POI18', 'POI28']"
461000bd,"['POI9', 'POI38', 'POI0', 'POI25', 'POI12']"
461000be,"['POI26', 'POI30', 'POI49', 'POI4', 'POI46']"
461000bf,"['POI32', 'POI36', 'POI19', 'POI12']"
461000c0,"['POI4', 'POI46', 'POI17', 'POI10', 'POI17', 'POI46', 'POI17', 'POI23', 'POI45', 'POI40']"
461000c1,['POI12']
461000c3,"['POI5', 'POI30', 'POI49', 'POI30', 'POI5']"
461000c5,"['POI38', 'POI25', 'POI19']"
461000c6,"['POI49', 'POI27', 'POI49']"
461000c7,[]
461000c8,"['POI12', 'POI19', 'POI47', 'POI15']"
461000cd,[]
461000cf,['POI19']
461000d6,"['POI15', 'POI47', 'POI36', 'POI19']"
461000d9,"['POI19', 'POI38', 'POI9']"
461000dd,"['POI19', 'POI0', 'POI38']"
461000de,"['POI20', 'POI7', 'POI24', 'POI44', 'POI16', 'POI40', 'POI9', 'POI13', 'POI23', 'POI42']"
461000e0,"['POI10', 'POI17', 'POI46', 'POI43', 'POI30', 'POI4', 'POI46']"
461000e2,"['POI30', 'POI22', 'POI19']"
461000e3,['POI19']
461000e5,"['POI19', 'POI32', 'POI30', 'POI17']"
461000e7,"['POI46', 'POI4', 'POI49', 'POI30', 'POI32', 'POI18']"
461000e9,"['POI27', 'POI30', 'POI32', 'POI19', 'POI0', 'POI19', 'POI12', 'POI28', 'POI32', 'POI30', 'POI49', 'POI4', 'POI46']"
461000ea,"['POI28', 'POI32', 'POI30', 'POI17', 'POI10', 'POI29', 'POI7', 'POI24', 'POI44', 'POI16', 'POI40', 'POI38', 'POI19', 'POI12', 'POI28']"
461000ec,"['POI19', 'POI12', 'POI28', 'POI18', 'POI37', 'POI18', 'POI37', 'POI6', 'POI41', 'POI26', 'POI30', 'POI11']"
461000ee,"['POI23', 'POI17', 'POI46']"
