x,y
887275.0,1479912.5
927775.0,1507400.0
907330.0,1499875.0
921675.0,1476225.0
946500.0,1493700.0
898646.4285714285,1474417.857142857
892125.0,1497875.0
884025.0,1489945.0
930875.0,1496008.3333333333
911237.5,1472625.0
934025.0,1479625.0
883550.0,1470400.0
922575.0,1495275.0
938200.0,1505475.0
894400.0,1486825.0
889875.0,1472508.3333333333
904015.0,1500835.0
897008.3333333334,1500008.3333333333
908748.5294117647,1503022.0588235294
882485.0,1489115.0
922341.6666666666,1506025.0
947508.3333333334,1496919.4444444445
876650.0,1484275.0
888853.5714285715,1495903.5714285714
936035.0,1500145.0
914958.3333333334,1478325.0
893000.0,1477775.0
938689.2857142857,1481660.7142857143
892575.0,1490003.5714285714
934550.0,1507375.0
900775.0,1495075.0
918225.0,1473900.0
919650.0,1494112.5
907910.7142857143,1473439.2857142857
889895.8333333334,1479987.5
932962.5,1494837.5
913175.0,1502975.0
931041.6666666666,1491375.0
888891.6666666666,1485025.0
912625.0,1473285.0
889580.2631578947,1497309.2105263157
915125.0,1496225.0
907241.6666666666,1503061.111111111
898764.4736842106,1473385.5263157894
919475.0,1499000.0
945303.5714285715,1498482.142857143
902800.0,1500800.0
895191.6666666666,1474908.3333333333
888300.0,1471212.5
931225.0,1507537.5
932408.3333333334,1504625.0
945650.0,1495475.0
924225.0,1489525.0
905925.0,1497825.0
886158.3333333334,1476841.6666666667
880815.0,1488495.0
925775.0,1476125.0
934075.0,1487975.0
881575.0,1472600.0
909678.3333333334,1502731.6666666667
883025.0,1485475.0
899387.5,1500075.0
940258.3333333334,1504125.0
906430.0,1500740.0
898525.0,1492825.0
887208.3333333334,1468991.6666666667
919325.0,1480025.0
925875.0,1498925.0
894900.0,1489462.5
899980.5555555555,1472591.6666666667
903175.0,1498008.3333333333
879008.3333333334,1486791.6666666667
894375.0,1471775.0
914175.0,1473050.0
911525.0,1495275.0
887900.0,1474075.0
938375.0,1497175.0
907144.2307692308,1501771.1538461538
933625.0,1497975.0
905603.5714285715,1499689.2857142857
884975.0,1491791.6666666667
929375.0,1493125.0
904475.0,1502289.2857142857
895755.0,1499645.0
905850.0,1471875.0
944125.0,1494400.0
894625.0,1478308.3333333333
905541.6666666666,1501208.3333333333
888525.0,1477725.0
947375.0,1497917.857142857
893675.0,1484725.0
882889.2857142857,1489860.7142857143
900741.6666666666,1473541.6666666667
894625.0,1491475.0
884875.0,1472075.0
910275.0,1500575.0
946875.0,1492687.5
890975.0,1484625.0
922907.1428571428,1505878.5714285714
893437.5,1498562.5
