j_50_cd,left,top,right,bottom,xcoord,ycoord,oid_count
1606766,930800,1507650,930850,1507600,930825,1507625,10
1615701,931550,1507700,931600,1507650,931575,1507675,10
1631749,932900,1494900,932950,1494850,932925,1494875,10
1667437,936050,1500200,936100,1500150,936075,1500175,10
1687362,937800,1481750,937850,1481700,937825,1481725,10
1695896,938650,1481750,938700,1481700,938675,1481725,10
1710521,940350,1503900,940400,1503850,940375,1503875,10
1742042,945250,1498250,945300,1498200,945275,1498225,10
1742422,945350,1495150,945400,1495100,945375,1495125,10
1743418,945800,1497950,945850,1497900,945825,1497925,10
1744504,946700,1493450,946750,1493400,946725,1493425,10
1745094,947300,1496750,947350,1496700,947325,1496725,10
1745195,947450,1497600,947500,1497550,947475,1497575,10
