j_50_cd,left,top,right,bottom,xcoord,ycoord,oid_count
1210337,898900,1473200,898950,1473150,898925,1473175,24
1283828,905200,1501150,905250,1501100,905225,1501125,24
1294604,906050,1498150,906100,1498100,906075,1498125,24
1347523,910250,1500600,910300,1500550,910275,1500575,24
1360786,911250,1472650,911300,1472600,911275,1472625,24
1373310,912250,1472450,912300,1472400,912275,1472425,24
1625805,932400,1504400,932450,1504350,932425,1504375,24
1041447,883200,1490400,883250,1490350,883225,1490375,23
1162807,894600,1478300,894650,1478250,894625,1478275,23
1202734,898200,1474650,898250,1474600,898225,1474625,23
1219196,899700,1472750,899750,1472700,899725,1472725,23
1275724,904550,1499150,904600,1499100,904575,1499125,23
1308001,907100,1501700,907150,1501650,907125,1501675,23
1464122,919300,1480050,919350,1480000,919325,1480025,23
1602864,930450,1491550,930500,1491500,930475,1491525,23
1667438,936050,1500150,936100,1500100,936075,1500125,23
1713310,940700,1503850,940750,1503800,940725,1503825,23
1038702,882850,1489950,882900,1489900,882875,1489925,22
1098673,888800,1495900,888850,1495850,888825,1495875,22
1106123,889500,1497100,889550,1497050,889525,1497075,22
1165079,894800,1475400,894850,1475350,894825,1475375,22
1212509,899100,1474600,899150,1474550,899125,1474575,22
1254946,902850,1497550,902900,1497500,902875,1497525,22
1290711,905750,1501700,905800,1501650,905775,1501675,22
1328219,908700,1503400,908750,1503350,908725,1503375,22
1375834,912450,1472950,912500,1472900,912475,1472925,22
1409976,915150,1477950,915200,1477900,915175,1477925,22
1503950,922500,1505950,922550,1505900,922525,1505925,22
1606999,930800,1496000,930850,1495950,930825,1495975,22
1744433,946600,1493700,946650,1493650,946625,1493675,22
1055564,884800,1492250,884850,1492200,884825,1492225,21
1082177,887200,1480000,887250,1479950,887225,1479975,21
1256057,902950,1500700,903000,1500650,902975,1500675,21
1338757,909550,1502600,909600,1502550,909575,1502575,21
1449642,918150,1473650,918200,1473600,918175,1473625,21
1013281,878900,1486800,878950,1486750,878925,1486775,20
1039088,882900,1489950,882950,1489900,882925,1489925,20
1039475,882950,1490000,883000,1489950,882975,1489975,20
1095878,888500,1477750,888550,1477700,888525,1477725,20
1098141,888750,1495900,888800,1495850,888775,1495875,20
1103964,889300,1497550,889350,1497500,889325,1497525,20
1104494,889350,1497450,889400,1497400,889375,1497425,20
1111333,889950,1479900,890000,1479850,889975,1479875,20
1245662,902000,1473250,902050,1473200,902025,1473225,20
1299653,906450,1501000,906500,1500950,906475,1500975,20
1312434,907450,1503250,907500,1503200,907475,1503225,20
1373920,912300,1473450,912350,1473400,912325,1473425,20
1029634,881550,1472650,881600,1472600,881575,1472625,19
1081843,887150,1469000,887200,1468950,887175,1468975,19
1095488,888450,1471350,888500,1471300,888475,1471325,19
1216409,899500,1500200,899550,1500150,899525,1500175,19
1219197,899700,1472700,899750,1472650,899725,1472675,19
1292693,905900,1498100,905950,1498050,905925,1498075,19
1391870,913700,1472950,913750,1472900,913725,1472925,19
1507586,922800,1505950,922850,1505900,922825,1505925,19
1576593,928350,1507800,928400,1507750,928375,1507775,19
1741865,945200,1498100,945250,1498050,945225,1498075,19
1745149,947400,1498000,947450,1497950,947425,1497975,19
1745310,947600,1496950,947650,1496900,947625,1496925,19
1003167,876650,1484300,876700,1484250,876675,1484275,18
1024238,880800,1488450,880850,1488400,880825,1488425,18
1146366,893150,1498450,893200,1498400,893175,1498425,18
1204887,898400,1474300,898450,1474250,898425,1474275,18
1275056,904500,1501150,904550,1501100,904525,1501125,18
1291943,905800,1471900,905850,1471850,905825,1471875,18
1292692,905900,1498150,905950,1498100,905925,1498125,18
1306073,906950,1501900,907000,1501850,906975,1501875,18
1311190,907350,1501850,907400,1501800,907375,1501825,18
1312436,907450,1503150,907500,1503100,907475,1503125,18
1314304,907550,1473450,907600,1473400,907575,1473425,18
1328223,908700,1503200,908750,1503150,908725,1503175,18
1341240,909750,1502650,909800,1502600,909775,1502625,18
1375202,912400,1472950,912450,1472900,912425,1472925,18
1379678,912750,1473650,912800,1473600,912775,1473625,18
1382296,912950,1473350,913000,1473300,912975,1473325,18
1561690,927150,1507050,927200,1507000,927175,1507025,18
1036805,882600,1489500,882650,1489450,882625,1489475,17
1082397,887200,1469000,887250,1468950,887225,1468975,17
1082729,887250,1480000,887300,1479950,887275,1479975,17
1083283,887300,1479900,887350,1479850,887325,1479875,17
1101336,889050,1496150,889100,1496100,889075,1496125,17
1110949,889900,1472600,889950,1472550,889925,1472575,17
1112386,890050,1480250,890100,1480200,890075,1480225,17
1159080,894300,1499050,894350,1499000,894325,1499025,17
1160175,894350,1471800,894400,1471750,894375,1471775,17
1210310,898900,1474550,898950,1474500,898925,1474525,17
1210338,898900,1473150,898950,1473100,898925,1473125,17
1227841,900500,1500600,900550,1500550,900525,1500575,17
1254289,902800,1501100,902850,1501050,902825,1501075,17
1255470,902900,1500650,902950,1500600,902925,1500625,17
1266904,903850,1500750,903900,1500700,903875,1500725,17
1287580,905500,1501050,905550,1501000,905525,1501025,17
1312435,907450,1503200,907500,1503150,907475,1503175,17
1316212,907700,1473450,907750,1473400,907725,1473425,17
1321952,908200,1503050,908250,1503000,908225,1503025,17
1330706,908900,1502650,908950,1502600,908925,1502625,17
1339364,909600,1503250,909650,1503200,909625,1503225,17
1339378,909600,1502550,909650,1502500,909625,1502525,17
1383594,913050,1473350,913100,1473300,913075,1473325,17
1383650,913100,1502950,913150,1502900,913125,1502925,17
1650363,934550,1507400,934600,1507350,934575,1507375,17
1741905,945200,1496100,945250,1496050,945225,1496075,17
1742423,945350,1495100,945400,1495050,945375,1495075,17
1744412,946550,1493050,946600,1493000,946575,1493025,17
1745068,947300,1498050,947350,1498000,947325,1498025,17
1745257,947500,1496800,947550,1496750,947525,1496775,17
1038704,882850,1489850,882900,1489800,882875,1489825,16
1100269,888950,1496000,889000,1495950,888975,1495975,16
1103963,889300,1497600,889350,1497550,889325,1497575,16
1110807,889900,1479700,889950,1479650,889925,1479675,16
1146233,893100,1478200,893150,1478150,893125,1478175,16
1172908,895550,1499550,895600,1499500,895575,1499525,16
1173464,895600,1499650,895650,1499600,895625,1499625,16
1175130,895750,1499750,895800,1499700,895775,1499725,16
1204347,898350,1474600,898400,1474550,898375,1474575,16
1205971,898500,1473700,898550,1473650,898525,1473675,16
1206531,898600,1499800,898650,1499750,898625,1499775,16
1208682,898750,1473850,898800,1473800,898775,1473825,16
1209257,898850,1499800,898900,1499750,898875,1499775,16
1255533,902900,1497500,902950,1497450,902925,1497475,16
1266879,903850,1502000,903900,1501950,903875,1501975,16
1272523,904300,1502300,904350,1502250,904325,1502275,16
1297735,906300,1500900,906350,1500850,906325,1500875,16
1311800,907400,1503150,907450,1503100,907425,1503125,16
1340608,909700,1503150,909750,1503100,909725,1503125,16
